Hero Name,Role,Pick Rate (%),Win Rate (%),Rank,
Loki,Strategist,3.61,50.52,Gold,
Hawkeye,Duelist,3.3,52.39,Gold,
Hulk,Vanguard,2.68,54.36,Gold,
Mantis,Strategist,2.68,54.02,Gold,
Captain America,Vanguard,2.52,51.65,Gold,
Ultron,Strategist,2.38,57.44,Gold,
Mister Fantastic,Duelist,2.35,53.28,Gold,
Black Panther,Duelist,1.95,54.44,Gold,
Daredevil,Duelist,1.93,54.76,Gold,
Iron Fist,Duelist,1.8,51.65,Gold,
Wolverine,Duelist,1.75,49.87,Gold,
Adam Warlock,Strategist,1.65,50.32,Gold,
Blade,Duelist,1.39,47.7,Gold,
Deadpool,Duelist,1.35,45.91,Gold,
Storm,Duelist,1.25,55.75,Gold,
Black Widow,Duelist,0.87,41.06,Gold,
Human Torch,Duelist,0.49,47.72,Gold,
Cloak & Dagger,Strategist,28.21,50.33,Platinum,
Invisible Woman,Strategist,18.44,48.8,Platinum,
Doctor Strange,Vanguard,17.76,50.52,Platinum,
Magneto,Vanguard,14.89,48.86,Platinum,
Emma Frost,Vanguard,13.47,47.66,Platinum,
Moon Knight,Duelist,10.6,51.23,Platinum,
Gambit,Strategist,10.11,51.25,Platinum,
Thor,Vanguard,9.82,53.37,Platinum,
Rocket Raccoon,Strategist,9.37,53.94,Platinum,
Luna Snow,Strategist,9.2,45.17,Platinum,
Jeff the Land Shark,Strategist,9.13,48.61,Platinum,
The Punisher,Duelist,8.73,47.44,Platinum,
Namor,Duelist,8.44,49.42,Platinum,
Winter Soldier,Duelist,8.08,47.09,Platinum,
Groot,Vanguard,7.5,50.42,Platinum,
Phoenix,Duelist,6.98,47.5,Platinum,
The Thing,Vanguard,6.32,50.63,Platinum,
Deadpool,Vanguard,6.13,50.33,Platinum,
Squirrel Girl,Duelist,6.11,45.71,Platinum,
Hela,Duelist,6.07,52.23,Platinum,
Deadpool,Strategist,6.04,44.18,Platinum,
Rogue,Vanguard,5.44,53.3,Platinum,
Spider- Man,Duelist,5.36,52.13,Platinum,
Peni Parker,Vanguard,5.35,54.78,Platinum,
Magik,Duelist,5.25,57.48,Platinum,
Scarlet Witch,Duelist,4.73,48.96,Platinum,
Venom,Vanguard,4.17,47.48,Platinum,
Loki,Strategist,4.05,51.39,Platinum,
Angela,Vanguard,3.85,53.8,Platinum,
Psylocke,Duelist,3.64,49.8,Platinum,
Star-Lord,Duelist,3.62,49.51,Platinum,
Iron Man,Duelist,3.26,50.25,Platinum,
Hulk,Vanguard,3.03,54.96,Platinum,
Hawkeye,Duelist,2.62,54.23,Platinum,
Mister Fantastic,Duelist,2.51,52.32,Platinum,
Wolverine,Duelist,2.27,49.06,Platinum,
Captain America,Vanguard,2.26,50.18,Platinum,
Black Panther,Duelist,2.23,53.73,Platinum,
Mantis,Strategist,2.14,53.04,Platinum,
