Hero Name,Role,Rank,Pick Rate,Win Rate,pick_norm,pick_z,win_z,hero_score
Cloak & Dagger,Strategist,Bronze,0.2225,0.5219,2.447534964785211,1.778904786515182,0.6240828100906887,1.2014937983029352
Jeff the Land Shark,Strategist,Bronze,0.1745,0.4763,1.9195274218203113,1.1300257139217593,-0.7025985259814835,0.2137135939701379
Gambit,Strategist,Bronze,0.1448,0.4961,1.5928227546107803,0.7285317877545794,-0.1265395247922517,0.30099613148116383
Invisible Woman,Strategist,Bronze,0.1283,0.4813,1.4113201617165958,0.5054796065505901,-0.5571290812367278,-0.025824737343068838
Moon Knight,Duelist,Bronze,0.1249,0.5219,2.9974287183589507,2.8197402082570195,0.6238058937699704,1.721773051013495
Emma Frost,Vanguard,Bronze,0.1177,0.48369999999999996,1.530209300664333,0.9007865025332776,-1.1067879224180595,-0.10300070994239091
Magneto,Vanguard,Bronze,0.1059,0.5005,1.376798342738767,0.6401525980225441,-0.45589648689231366,0.09212805556511522
Deadpool,Vanguard,Bronze,0.1015,0.4924,1.3195942567326238,0.5429670743066777,-0.7697191433065106,-0.11337603449991646
Doctor Strange,Vanguard,Bronze,0.09849999999999999,0.4988,1.280591470819344,0.47670421722767736,-0.5217605012014637,-0.022528141986893152
Peni Parker,Vanguard,Bronze,0.0931,0.5479999999999999,1.210386456175441,0.35743107448547756,1.384421559981076,0.8709263172332768
Rogue,Vanguard,Bronze,0.08650000000000001,0.5303,1.1245803271662262,0.2116527889116777,0.6986609404093099,0.4551568646604938
Luna Snow,Strategist,Bronze,0.08380000000000001,0.4864,0.9218131687595538,-0.09608536699956184,-0.40875024759707723,-0.25241780729831953
The Punisher,Duelist,Bronze,0.08039999999999999,0.4728,1.9294897434432314,1.3121467508000377,-0.5966703891762898,0.357738180811874
Scarlet Witch,Duelist,Bronze,0.0799,0.49079999999999996,1.9174904291183361,1.295207498469061,-0.1492452752652384,0.5729811116019112
Venom,Vanguard,Bronze,0.0789,0.46990000000000004,1.0257732695192512,0.043786884311544115,-1.6414487444570625,-0.7988309300727592
