Hero Name,Role,Rank,Pick Rate,Win Rate,hero_score,tier
Loki,Strategist,Silver,0.0337,0.496,-0.4514009063530467,C
Mantis,Strategist,Silver,0.0331,0.5181,-0.13396892767084545,B
Captain America,Vanguard,Silver,0.0316,0.5022,-0.695494984108591,C
Ultron,Strategist,Silver,0.0287,0.5615,0.46762817169419535,A
Hulk,Vanguard,Silver,0.0269,0.5249,-0.3076617344623054,C
Daredevil,Duelist,Silver,0.0215,0.5304,0.07589640077499371,B
Mister Fantastic,Duelist,Silver,0.02,0.5306000000000001,0.05297321735581245,B
Adam Warlock,Strategist,Silver,0.018799999999999997,0.5105,-0.34118165086525576,C
Iron Fist,Duelist,Silver,0.0183,0.5227,-0.07400846715955234,B
Blade,Duelist,Silver,0.016399999999999998,0.48479999999999995,-0.5772322637336573,C
Deadpool,Duelist,Silver,0.0161,0.4693,-0.7749554079224308,C
Black Panther,Duelist,Silver,0.015700000000000002,0.5653,0.4114025282413183,A
Wolverine,Duelist,Silver,0.013500000000000002,0.4851,-0.6226275528775658,C
Storm,Duelist,Silver,0.010700000000000001,0.5315,-0.09337620147450149,B
Black Widow,Duelist,Silver,0.0095,0.4292,-1.3851363363022473,D
Human Torch,Duelist,Silver,0.006,0.4742,-0.8851423270718527,C
Cloak & Dagger,Strategist,Gold,0.2632,0.5052,1.2336575157307792,S
Invisible Woman,Strategist,Gold,0.162,0.4863,0.2746935761376252,B
Doctor Strange,Vanguard,Gold,0.1469,0.5107,0.7425162885324094,A
Emma Frost,Vanguard,Gold,0.1318,0.4858,0.09339771891361914,B
Magneto,Vanguard,Gold,0.1304,0.4914,0.1864182915161433,B
Moon Knight,Duelist,Gold,0.1263,0.5059,1.5466323980941732,S
Gambit,Strategist,Gold,0.1242,0.507,0.32031919192560915,A
Jeff the Land Shark,Strategist,Gold,0.1157,0.47479999999999994,-0.20554525470504761,B
Thor,Vanguard,Gold,0.0949,0.5282,0.5072441498507347,A
Luna Snow,Strategist,Gold,0.0888,0.4542,-0.6870336343455254,C
The Punisher,Duelist,Gold,0.0816,0.4705,0.3494797902202852,A
Rocket Raccoon,Strategist,Gold,0.0806,0.5383,0.4809393085071814,A
Groot,Vanguard,Gold,0.0795,0.49,-0.40283208918427965,C
Peni Parker,Vanguard,Gold,0.076,0.5488000000000001,0.6975745896896948,A
Namor,Duelist,Gold,0.0711,0.4919,0.43758701401437133,A
